Data date;Conclude;Version state;Country;Vehtype;Manufacturer code;Make;Model;Version;Trim level;Body type;Doors;CabType;Liters;cc;# of cyls;config;kW;HP;Fiscal HP;Fuel;Comp'r;Trans;# of speeds;Trans desc;Drvn wheels;Seating cap;GVW rating;Payload;w/base;Model yr;Price curr;volyear;Rooftype;Price_Base;Price_Retail;Price_Ret+Deliv
20181101;20190131;S:M;E;C;150.56D.4;ABARTH;ABARTH:500;1.4 TURBO T-JET 595 107KW;-;CA;2;?;1,4;1368;4;I;107;145;11;P;T;M;5;M;F;4;1430;?;2300;2019;EUR;2019;?;17050,27;21950;21950
20190201;20190430;O:P;E;C;150.56D.4.000;ABARTH;ABARTH:500;1.4 TURBO T-JET 595 107KW;-;CA;2;?;1,4;1368;4;I;107;145;11;P;T;M;5;M;F;4;1430;?;2300;2019;EUR;2019;?;17368,36;22350;22350
20190501;99991231;P:O;E;C;150.56D.4.000;ABARTH;ABARTH:500;1.4 TURBO T-JET 595 107KW;-;CA;2;?;1,4;1368;4;I;107;145;11;P;T;M;5;M;F;4;1430;?;2300;2019;EUR;2019;?;17363,12;22400;22400
20181101;20190131;S:M;E;C;150.56D.4;ABARTH;ABARTH:500;1.4 TURBO T-JET 595 107KW;-;CA;2;?;;1368;4;I;107;145;11;P;T;M;5;Q;F;4;1430;?;2300;2019;EUR;2019;?;18600,97;23900;23900
20180601;20181031;O:P;E;C;150.164.4;ABARTH;ABARTH:500;1.4 TURBO T-JET 595 107KW;-;HA;3;?;1,4;1368;4;I;107;145;15;P;T;M;5;M;F;4;1425;?;2300;2017;EUR;2019;?;15579,1;20100;20100
20181101;20190131;S:M;E;C;150.16D.4;ABARTH;ABARTH:500;1.4 TURBO T-JET 595 107KW;-;HA;3;?;1,4;1368;4;I;107;145;15;P;T;M;5;M;F;4;1425;?;2300;2019;EUR;2019;?;15579,1;20100;20100
20190201;20190430;O:P;E;C;150.16D.4.000;ABARTH;ABARTH:500;1.4 TURBO T-JET 595 107KW;-;HA;3;?;1,4;1368;4;I;107;145;15;P;T;M;5;M;F;4;1425;?;2300;2019;EUR;2019;?;15897,19;20500;20500
20190501;99991231;P:O;E;C;150.16D.4.000;ABARTH;ABARTH:500;1.4 TURBO T-JET 595 107KW;-;HA;3;?;1,4;1368;4;I;107;145;15;P;T;M;5;M;F;4;1425;?;2300;2019;EUR;2019;?;15852,19;20500;20500
20181101;20190131;S:M;E;C;150.16D.4;ABARTH;ABARTH:500;1.4 TURBO T-JET 595 107KW;-;HA;3;?;1,4;1368;4;I;107;145;15;P;T;M;5;Q;F;4;1425;?;2300;2019;EUR;2019;?;17129,8;22050;22050
20181101;20190131;S:M;E;C;150.56F.4;ABARTH;ABARTH:500;1.4 T-JET 595 C 132KW COMPETIZIONE;COMPETIZIONE;CA;2;?;1,4;1368;4;I;132;180;11;P;T;M;5;M;F;4;1440;?;2300;2019;EUR;2019;?;22616,87;28950;28950
20190201;20190430;O:P;E;C;150.56F.4.000;ABARTH;ABARTH:500;1.4 T-JET 595 C 132KW COMPETIZIONE;COMPETIZIONE;CA;2;?;1,4;1368;4;I;132;180;11;P;T;M;5;M;F;4;1440;?;2300;2019;EUR;2019;?;23730,19;30350;30350
20190501;99991231;P:O;E;C;150.56F.4.000;ABARTH;ABARTH:500;1.4 T-JET 595 C 132KW COMPETIZIONE;COMPETIZIONE;CA;2;?;1,4;1368;4;I;132;180;11;P;T;M;5;M;F;4;1440;?;2300;2019;EUR;2019;?;23724,95;30400;30400
20181101;20190131;S:M;E;C;150.56F.4;ABARTH;ABARTH:500;1.4 T-JET 595 C 132KW COMPETIZIONE;COMPETIZIONE;CA;2;?;1,4;1368;4;I;132;180;11;P;T;M;5;Q;F;4;1440;?;2300;2019;EUR;2019;?;24167,57;30900;30900
20190201;20190430;O:P;E;C;150.56F.4.000;ABARTH;ABARTH:500;1.4 T-JET 595 C 132KW COMPETIZIONE;COMPETIZIONE;CA;2;?;1,4;1368;4;I;132;180;11;P;T;M;5;Q;F;4;1440;?;2300;2019;EUR;2019;?;25280,89;32300;32300
20190501;99991231;P:O;E;C;150.56F.4.000;ABARTH;ABARTH:500;1.4 T-JET 595 C 132KW COMPETIZIONE;COMPETIZIONE;CA;2;?;1,4;1368;4;I;132;180;11;P;T;M;5;Q;F;4;1440;?;2300;2019;EUR;2019;?;25275,65;32350;32350
20181101;20190131;S:M;E;C;150.16F.4;ABARTH;ABARTH:500;1.4 T-JET 595 132KW COMPETIZIONE;COMPETIZIONE;HA;3;?;1,4;1368;4;I;132;180;15;P;T;M;5;M;F;4;1425;?;2300;2019;EUR;2019;?;21145,7;27100;27100
20190201;20190430;O:P;E;C;150.16F.4.000;ABARTH;ABARTH:500;1.4 T-JET 595 132KW COMPETIZIONE;COMPETIZIONE;HA;3;?;1,4;1368;4;I;132;180;15;P;T;M;5;M;F;4;1425;?;2300;2019;EUR;2019;?;22259,02;28500;28500
20190501;99991231;P:O;E;C;150.16F.4.000;ABARTH;ABARTH:500;1.4 T-JET 595 132KW COMPETIZIONE;COMPETIZIONE;HA;3;?;1,4;1368;4;I;132;180;15;P;T;M;5;M;F;4;1425;?;2300;2019;EUR;2019;?;22214,02;28500;28500
20181101;20190131;S:M;E;C;150.16F.4;ABARTH;ABARTH:500;1.4 T-JET 595 132KW COMPETIZIONE;COMPETIZIONE;HA;3;?;1,4;1368;4;I;132;180;15;P;T;M;5;Q;F;4;1425;?;2300;2019;EUR;2019;?;22696,4;29050;29050
20190201;20190430;O:P;E;C;150.16F.4.000;ABARTH;ABARTH:500;1.4 T-JET 595 132KW COMPETIZIONE;COMPETIZIONE;HA;3;?;1,4;1368;4;I;132;180;15;P;T;M;5;Q;F;4;1425;?;2300;2019;EUR;2019;?;23809,72;30450;30450
20190501;99991231;P:O;E;C;150.16F.4.000;ABARTH;ABARTH:500;1.4 T-JET 595 132KW COMPETIZIONE;COMPETIZIONE;HA;3;?;1,4;1368;4;I;132;180;15;P;T;M;5;Q;F;4;1425;?;2300;2019;EUR;2019;?;23764,72;30450;30450
20190501;99991231;V;E;C;150.56G.4.000;ABARTH;ABARTH:500;1.4 T-JET 595 C 132KW ESSEESSE;ESSEESSE;CA;2;?;1,4;1368;4;I;132;180;11;P;T;M;5;M;F;4;1440;?;2300;2019;EUR;2019;?;25872,07;33100;33100
20190501;99991231;V;E;C;150.56G.4.000;ABARTH;ABARTH:500;1.4 T-JET 595 C 132KW ESSEESSE;ESSEESSE;CA;2;?;1,4;1368;4;I;132;180;11;P;T;M;5;Q;F;4;1440;?;2300;2019;EUR;2019;?;27422,77;35050;35050
20190501;99991231;V;E;C;150.16G.4.000;ABARTH;ABARTH:500;1.4 T-JET 595 132KW ESSEESSE;ESSEESSE;HA;3;?;1,4;1368;4;I;132;180;15;P;T;M;5;M;F;4;1425;?;2300;2019;EUR;2019;?;24361,13;31200;31200
20190501;99991231;V;E;C;150.16G.4.000;ABARTH;ABARTH:500;1.4 T-JET 595 132KW ESSEESSE;ESSEESSE;HA;3;?;1,4;1368;4;I;132;180;15;P;T;M;5;Q;F;4;1425;?;2300;2019;EUR;2019;?;25911,83;33150;33150
20181101;20190131;S:M;E;C;150.56N.4;ABARTH;ABARTH:500;1.4 TURBO T-JET 595 118KW PISTA;PISTA;CA;2;?;1,4;1368;4;I;118;160;15;P;T;M;5;M;F;4;1430;?;2300;2019;EUR;2019;?;19197,39;24650;24650
20181101;20190131;S:M;E;C;150.56N.4;ABARTH;ABARTH:500;1.4 TURBO T-JET 595 118KW PISTA;PISTA;CA;2;?;1,4;1368;4;I;118;160;15;P;T;M;5;Q;F;4;1430;?;2300;2019;EUR;2019;?;20748,09;26600;26600
20181101;20190131;S:M;E;C;150.16N.4;ABARTH;ABARTH:500;1.4 TURBO T-JET 595 118KW PISTA;PISTA;HA;3;?;1,4;1368;4;I;118;160;15;P;T;M;5;M;F;4;1425;?;2300;2019;EUR;2019;?;17726,21;22800;22800
20181101;20190131;S:M;E;C;150.16N.4;ABARTH;ABARTH:500;1.4 TURBO T-JET 595 118KW PISTA;PISTA;HA;3;?;1,4;1368;4;I;118;160;15;P;T;M;5;Q;F;4;1425;?;2300;2019;EUR;2019;?;19276,91;24750;24750
20181101;20190131;S:M;E;C;150.56S.4;ABARTH;ABARTH:500;1.4 T-JET 695 C 132KW RIVALE;RIVALE;CA;2;?;1,4;1368;4;I;132;180;15;P;T;M;5;M;F;4;1440;?;2300;2019;EUR;2019;?;23849,47;30500;30500
20181101;20190131;S:M;E;C;150.56S.4;ABARTH;ABARTH:500;1.4 T-JET 695 C 132KW RIVALE;RIVALE;CA;2;?;1,4;1368;4;I;132;180;15;P;T;M;5;Q;F;4;1440;?;2300;2019;EUR;2019;?;25400,17;32450;32450
20181101;20190131;S:M;E;C;150.16S.4;ABARTH;ABARTH:500;1.4 T-JET 695 132KW RIVALE;RIVALE;HA;3;?;1,4;1368;4;I;132;180;15;P;T;M;5;M;F;4;1425;?;2300;2019;EUR;2019;?;22259,02;28500;28500
20181101;20190131;S:M;E;C;150.16S.4;ABARTH;ABARTH:500;1.4 T-JET 695 132KW RIVALE;RIVALE;HA;3;?;1,4;1368;4;I;132;180;15;P;T;M;5;Q;F;4;1425;?;2300;2019;EUR;2019;?;23809,72;30450;30450
20180601;20181031;O:P;E;C;150.565.4;ABARTH;ABARTH:500;1.4 T-JET 595 C 121KW TURISMO;TURISMO;CA;2;?;1,4;1368;4;I;121;165;11;P;T;M;5;M;F;4;1440;?;2300;2017;EUR;2019;?;20549,27;26350;26350
20181101;20190131;S:M;E;C;150.56E.4;ABARTH;ABARTH:500;1.4 T-JET 595 C 121KW TURISMO;TURISMO;CA;2;?;1,4;1368;4;I;121;165;11;P;T;M;5;M;F;4;1440;?;2300;2019;EUR;2019;?;20549,27;26350;26350
20190201;20190430;O:P;E;C;150.56E.4.000;ABARTH;ABARTH:500;1.4 T-JET 595 C 121KW TURISMO;TURISMO;CA;2;?;1,4;1368;4;I;121;165;11;P;T;M;5;M;F;4;1440;?;2300;2019;EUR;2019;?;21662,59;27750;27750
20190501;99991231;P:O;E;C;150.56E.4.000;ABARTH;ABARTH:500;1.4 T-JET 595 C 121KW TURISMO;TURISMO;CA;2;?;1,4;1368;4;I;121;165;11;P;T;M;5;M;F;4;1440;?;2300;2019;EUR;2019;?;21657,36;27800;27800
20181101;20190131;S:M;E;C;150.56E.4;ABARTH;ABARTH:500;1.4 T-JET 595 C 121KW TURISMO;TURISMO;CA;2;?;1,4;1368;4;I;121;165;11;P;T;M;5;Q;F;4;1440;?;2300;2019;EUR;2019;?;22099,97;28300;28300
20190201;20190430;O:P;E;C;150.56E.4.000;ABARTH;ABARTH:500;1.4 T-JET 595 C 121KW TURISMO;TURISMO;CA;2;?;1,4;1368;4;I;121;165;11;P;T;M;5;Q;F;4;1440;?;2300;2019;EUR;2019;?;23213,29;29700;29700
20190501;99991231;P:O;E;C;150.56E.4.000;ABARTH;ABARTH:500;1.4 T-JET 595 C 121KW TURISMO;TURISMO;CA;2;?;1,4;1368;4;I;121;165;11;P;T;M;5;Q;F;4;1440;?;2300;2019;EUR;2019;?;23208,06;29750;29750
20181101;20190131;S:M;E;C;150.16E.4;ABARTH;ABARTH:500;1.4 T-JET 16V 595 121KW TURISMO;TURISMO;HA;3;?;1,4;1368;4;I;121;165;15;P;T;M;5;M;F;4;1425;?;2300;2019;EUR;2019;?;19078,1;24500;24500
20190201;20190430;O:P;E;C;150.16E.4.000;ABARTH;ABARTH:500;1.4 T-JET 16V 595 121KW TURISMO;TURISMO;HA;3;?;1,4;1368;4;I;121;165;15;P;T;M;5;M;F;4;1425;?;2300;2019;EUR;2019;?;20191,42;25900;25900
20190501;99991231;P:O;E;C;150.16E.4.000;ABARTH;ABARTH:500;1.4 T-JET 16V 595 121KW TURISMO;TURISMO;HA;3;?;1,4;1368;4;I;121;165;15;P;T;M;5;M;F;4;1425;?;2300;2019;EUR;2019;?;20146,42;25900;25900
